asset_id,occurred_at,version,event_id,value,unit,quality,source
DAM-A-RF-01,2026-07-01T00:00:00+08:00,1,evt-rf-0000-0,8.45,mm,valid,simulator
DAM-A-RF-02,2026-07-01T00:00:00+08:00,1,evt-rf-0000-1,8.44,mm,valid,simulator
DAM-A-RF-03,2026-07-01T00:00:00+08:00,1,evt-rf-0000-2,8.25,mm,valid,simulator
DAM-A-RF-04,2026-07-01T00:00:00+08:00,1,evt-rf-0000-3,8.87,mm,valid,simulator
DAM-A-RF-05,2026-07-01T00:00:00+08:00,1,evt-rf-0000-4,9.35,mm,valid,simulator
DAM-A-RF-01,2026-07-01T00:05:00+08:00,1,evt-rf-0001-0,1.14,mm,valid,simulator
DAM-A-RF-02,2026-07-01T00:05:00+08:00,1,evt-rf-0001-1,0.12,mm,valid,simulator
DAM-A-RF-03,2026-07-01T00:05:00+08:00,1,evt-rf-0001-2,0,mm,valid,simulator
DAM-A-RF-04,2026-07-01T00:05:00+08:00,1,evt-rf-0001-3,0.2,mm,valid,simulator
DAM-A-RF-05,2026-07-01T00:05:00+08:00,1,evt-rf-0001-4,0.26,mm,valid,simulator
DAM-A-RF-01,2026-07-01T00:10:00+08:00,1,evt-rf-0002-0,0.48,mm,valid,simulator
DAM-A-RF-02,2026-07-01T00:10:00+08:00,1,evt-rf-0002-1,0,mm,valid,simulator
DAM-A-RF-03,2026-07-01T00:10:00+08:00,1,evt-rf-0002-2,0.28,mm,valid,simulator
DAM-A-RF-04,2026-07-01T00:10:00+08:00,1,evt-rf-0002-3,0,mm,valid,simulator
DAM-A-RF-05,2026-07-01T00:10:00+08:00,1,evt-rf-0002-4,0.32,mm,valid,simulator
DAM-A-RF-01,2026-07-01T00:15:00+08:00,1,evt-rf-0003-0,0,mm,valid,simulator
DAM-A-RF-02,2026-07-01T00:15:00+08:00,1,evt-rf-0003-1,0.77,mm,valid,simulator
DAM-A-RF-03,2026-07-01T00:15:00+08:00,1,evt-rf-0003-2,0.4,mm,valid,simulator
DAM-A-RF-04,2026-07-01T00:15:00+08:00,1,evt-rf-0003-3,0.16,mm,valid,simulator
DAM-A-RF-05,2026-07-01T00:15:00+08:00,1,evt-rf-0003-4,0,mm,valid,simulator
DAM-A-RF-01,2026-07-01T00:20:00+08:00,1,evt-rf-0004-0,0.08,mm,valid,simulator
DAM-A-RF-02,2026-07-01T00:20:00+08:00,1,evt-rf-0004-1,0.06,mm,valid,simulator
DAM-A-RF-03,2026-07-01T00:20:00+08:00,1,evt-rf-0004-2,0,mm,valid,simulator
DAM-A-RF-04,2026-07-01T00:20:00+08:00,1,evt-rf-0004-3,0.34,mm,valid,simulator
DAM-A-RF-05,2026-07-01T00:20:00+08:00,1,evt-rf-0004-4,0.29,mm,valid,simulator
DAM-A-RF-01,2026-07-01T00:25:00+08:00,1,evt-rf-0005-0,0.27,mm,valid,simulator
DAM-A-RF-02,2026-07-01T00:25:00+08:00,1,evt-rf-0005-1,0.52,mm,valid,simulator
DAM-A-RF-03,2026-07-01T00:25:00+08:00,1,evt-rf-0005-2,0,mm,valid,simulator
DAM-A-RF-04,2026-07-01T00:25:00+08:00,1,evt-rf-0005-3,0,mm,valid,simulator
DAM-A-RF-05,2026-07-01T00:25:00+08:00,1,evt-rf-0005-4,0.26,mm,valid,simulator
DAM-A-RF-01,2026-07-01T00:30:00+08:00,1,evt-rf-0006-0,0,mm,valid,simulator
DAM-A-RF-02,2026-07-01T00:30:00+08:00,1,evt-rf-0006-1,0,mm,valid,simulator
DAM-A-RF-03,2026-07-01T00:30:00+08:00,1,evt-rf-0006-2,0,mm,valid,simulator
DAM-A-RF-04,2026-07-01T00:30:00+08:00,1,evt-rf-0006-3,0.45,mm,valid,simulator
DAM-A-RF-05,2026-07-01T00:30:00+08:00,1,evt-rf-0006-4,0.45,mm,valid,simulator
DAM-A-RF-01,2026-07-01T00:35:00+08:00,1,evt-rf-0007-0,0.09,mm,valid,simulator
DAM-A-RF-02,2026-07-01T00:35:00+08:00,1,evt-rf-0007-1,0,mm,valid,simulator
DAM-A-RF-03,2026-07-01T00:35:00+08:00,1,evt-rf-0007-2,0,mm,valid,simulator
DAM-A-RF-04,2026-07-01T00:35:00+08:00,1,evt-rf-0007-3,0.12,mm,valid,simulator
DAM-A-RF-05,2026-07-01T00:35:00+08:00,1,evt-rf-0007-4,0.62,mm,valid,simulator
DAM-A-RF-01,2026-07-01T00:40:00+08:00,1,evt-rf-0008-0,0,mm,valid,simulator
DAM-A-RF-02,2026-07-01T00:40:00+08:00,1,evt-rf-0008-1,0.61,mm,valid,simulator
DAM-A-RF-03,2026-07-01T00:40:00+08:00,1,evt-rf-0008-2,0,mm,valid,simulator
