asset_id,asset_type,display_name,unit,longitude,latitude,elevation_m,range_min,range_max,precision,threshold,commissioned_date
DAM-A-PZ-01,渗压,案例渗压01,kPa,111.199375,30.500055,123.5,0.0,500.0,0.01,250.0,2025-06-01
DAM-A-PZ-02,渗压,案例渗压02,kPa,111.199375,30.500082,138.0,0.0,500.0,0.01,250.0,2025-06-01
DAM-A-PZ-03,渗压,案例渗压03,kPa,111.199375,30.500109,152.5,0.0,500.0,0.01,250.0,2025-06-01
DAM-A-PZ-04,渗压,案例渗压04,kPa,111.199792,30.500054,123.5,0.0,500.0,0.01,250.0,2025-06-01
DAM-A-PZ-05,渗压,案例渗压05,kPa,111.199792,30.500082,138.0,0.0,500.0,0.01,250.0,2025-06-01
DAM-A-PZ-06,渗压,案例渗压06,kPa,111.199792,30.500109,152.5,0.0,500.0,0.01,250.0,2025-06-01
DAM-A-PZ-07,渗压,案例渗压07,kPa,111.200208,30.500054,123.5,0.0,500.0,0.01,250.0,2025-06-01
DAM-A-PZ-08,渗压,案例渗压08,kPa,111.200209,30.500081,138.0,0.0,500.0,0.01,250.0,2025-06-01
DAM-A-PZ-09,渗压,案例渗压09,kPa,111.200209,30.500108,152.5,0.0,500.0,0.01,250.0,2025-06-01
DAM-A-PZ-10,渗压,案例渗压10,kPa,111.200625,30.500053,123.5,0.0,500.0,0.01,250.0,2025-06-01
DAM-A-PZ-11,渗压,案例渗压11,kPa,111.200625,30.50008,138.0,0.0,500.0,0.01,250.0,2025-06-01
DAM-A-PZ-12,渗压,案例渗压12,kPa,111.200625,30.500107,152.5,0.0,500.0,0.01,250.0,2025-06-01
DAM-A-D-01,位移,案例位移01,mm,111.199375,30.500145,172.0,-50.0,50.0,0.01,0.0,2025-06-01
DAM-A-D-02,位移,案例位移02,mm,111.199792,30.500145,172.0,-50.0,50.0,0.01,0.0,2025-06-01
DAM-A-D-03,位移,案例位移03,mm,111.200209,30.500144,172.0,-50.0,50.0,0.01,0.0,2025-06-01
DAM-A-D-04,位移,案例位移04,mm,111.200625,30.500143,172.0,-50.0,50.0,0.01,0.0,2025-06-01
DAM-A-D-05,位移,案例位移05,mm,111.199375,30.499987,150.0,-50.0,50.0,0.01,0.0,2025-06-01
DAM-A-D-06,位移,案例位移06,mm,111.199792,30.499987,150.0,-50.0,50.0,0.01,0.0,2025-06-01
DAM-A-D-07,位移,案例位移07,mm,111.200208,30.499986,150.0,-50.0,50.0,0.01,0.0,2025-06-01
DAM-A-D-08,位移,案例位移08,mm,111.200625,30.499986,150.0,-50.0,50.0,0.01,0.0,2025-06-01
DAM-A-WL-01,库水位,案例库水位01,m,111.19969,30.501354,150.0,148.0,171.6,0.001,159.8,2025-06-01
DAM-A-WL-02,库水位,案例库水位02,m,111.200632,30.503607,151.5,148.0,171.6,0.001,159.8,2025-06-01
DAM-A-WL-03,库水位,案例库水位03,m,111.198763,30.506316,149.0,148.0,171.6,0.001,159.8,2025-06-01
DAM-A-RF-01,雨量,案例雨量01,mm,111.201146,30.499908,176.0,0.0,200.0,0.1,100.0,2025-06-01
DAM-A-RF-02,雨量,案例雨量02,mm,111.193245,30.508128,205.0,0.0,200.0,0.1,100.0,2025-06-01
DAM-A-RF-03,雨量,案例雨量03,mm,111.209402,30.512614,232.0,0.0,200.0,0.1,100.0,2025-06-01
DAM-A-RF-04,雨量,案例雨量04,mm,111.184385,30.505435,218.0,0.0,200.0,0.1,100.0,2025-06-01
DAM-A-RF-05,雨量,案例雨量05,mm,111.212488,30.494568,190.0,0.0,200.0,0.1,100.0,2025-06-01
