chapter,level,section,title,chars_total,chars_own,listings,figures,tables,equations,layer,note
preface,section,,为什么写这本书,234,234,0,0,0,0,C,
preface,section,,这本书讲什么,426,426,0,0,0,0,C,
preface,section,,怎么使用这本书,336,336,0,0,0,0,C,
preface,section,,推荐教学组织方式,939,939,0,0,3,0,C,
preface,section,,贯穿案例卡,446,446,0,0,1,0,C,
preface,section,,配套资源,1279,1279,0,0,2,0,C,
preface,section,,适用对象,176,176,0,0,0,0,C,
preface,section,,致谢,224,224,0,0,0,0,C,
ch01,section,,智慧水利的概念与发展,10,10,0,0,0,0,C,
ch01,subsection,智慧水利的概念与发展,定义、边界与基本特征,603,603,0,0,1,0,C,
ch01,subsection,智慧水利的概念与发展,政策主线与建设方向,429,429,0,0,0,0,C,
ch01,subsection,智慧水利的概念与发展,感知、通信与数据交换,344,344,0,0,1,0,E,
ch01,subsection,智慧水利的概念与发展,发展脉络：从信息化到数字孪生,856,856,0,1,0,0,E,
ch01,subsection,智慧水利的概念与发展,政策体系的阅读方法,787,787,0,0,1,0,E,
ch01,subsection,智慧水利的概念与发展,国内外建设路径对照,1244,1244,0,0,0,0,E,
ch01,subsection,智慧水利的概念与发展,智能能力的技术选型与安全边界,218,218,0,0,0,0,E,
ch01,subsection,智慧水利的概念与发展,贯穿场景：一次洪水预警如何形成闭环,505,505,0,1,0,0,C,
ch01,section,,智慧水利平台架构体系,10,10,0,0,0,0,C,
ch01,subsection,智慧水利平台架构体系,四层架构与双向链路,244,244,0,1,0,0,C,
ch01,subsection,智慧水利平台架构体系,平台形态与能力边界,1148,1148,0,1,1,0,C,
ch01,subsection,智慧水利平台架构体系,典型子系统与业务实例,1874,1874,0,0,0,0,C,
ch01,subsection,智慧水利平台架构体系,架构设计原则,2277,2277,0,0,2,0,C,
ch01,section,,软件工程方法概述,8,8,0,0,0,0,C,
ch01,subsection,软件工程方法概述,软件及其工程特征,264,264,0,0,0,0,C,
ch01,subsection,软件工程方法概述,生命周期与核心活动,771,771,0,1,0,0,C,
ch01,subsection,软件工程方法概述,软件工程对智慧水利开发的作用,215,215,0,0,0,0,C,
ch01,section,,小结,441,441,0,0,0,0,-,
ch01,section,,核心术语表,263,263,0,0,0,0,-,
ch01,section,,章末交付物,68,68,0,0,0,0,-,
ch01,section,,思考题与练习题,329,329,0,0,0,0,-,
ch02,section,,软件生命周期,54,54,0,0,0,0,C,
ch02,subsection,软件生命周期,需求与规划阶段,86,86,0,0,0,0,C,
ch02,subsection,软件生命周期,架构与详细设计阶段,83,83,0,0,0,0,C,
ch02,subsection,软件生命周期,实现、集成与验证阶段,106,106,0,0,0,0,C,
ch02,subsection,软件生命周期,部署、运行与维护阶段,88,88,0,0,0,0,C,
ch02,subsection,软件生命周期,退役与数据处置阶段,353,353,0,0,1,0,E,
ch02,section,,软件生命周期模型与选型,56,56,0,0,0,0,C,
ch02,subsection,软件生命周期模型与选型,瀑布模型,144,144,0,1,0,0,C,
ch02,subsection,软件生命周期模型与选型,原型模型,172,172,0,1,0,0,C,
ch02,subsection,软件生命周期模型与选型,迭代与增量模型,158,158,0,1,0,0,C,
ch02,subsection,软件生命周期模型与选型,螺旋模型,763,763,0,1,0,0,E,
ch02,subsection,软件生命周期模型与选型,敏捷与迭代交付,337,337,0,0,0,0,C,
ch02,subsection,软件生命周期模型与选型,Scrum与看板的落地,600,600,0,0,0,0,E,
ch02,subsection,软件生命周期模型与选型,DevOps与持续交付,478,478,0,1,0,0,E,
ch02,subsection,软件生命周期模型与选型,其他模型的适用边界,196,196,0,0,0,0,E,
ch02,subsection,软件生命周期模型与选型,模型选择,1835,1835,0,0,2,0,G,
ch02,section,,需求获取与理解,52,52,0,0,0,0,C,
ch02,subsection,需求获取与理解,干系方与业务场景,185,185,0,0,0,0,C,
ch02,subsection,需求获取与理解,需求获取方法,176,176,0,0,0,0,C,
ch02,subsection,需求获取与理解,需求获取方法的组合与陷阱,1319,1319,0,1,1,0,G,
ch02,subsection,需求获取与理解,需求分类与优先级,348,348,0,0,1,0,C,
ch02,subsection,需求获取与理解,用例规约与用户故事,1176,1176,0,0,1,0,C,
ch02,subsection,需求获取与理解,非功能需求的分类与量化,1090,1090,0,0,1,0,C,
ch02,section,,需求分析的任务与原则,37,37,0,0,0,0,C,
ch02,subsection,需求分析的任务与原则,核心任务,234,234,0,0,0,0,C,
ch02,subsection,需求分析的任务与原则,基本原则,143,143,0,0,0,0,C,
ch02,subsection,需求分析的任务与原则,需求验证与冲突处理,825,825,0,0,1,0,C,
ch02,section,,结构化分析,89,89,0,0,0,0,C,
ch02,subsection,结构化分析,系统流程图,421,421,0,1,0,0,C,
ch02,subsection,结构化分析,数据流图,620,620,0,3,0,0,C,
ch02,subsection,结构化分析,数据字典,498,498,0,0,0,0,C,
ch02,subsection,结构化分析,实体关系与规范化,776,776,0,1,1,0,C,
ch02,subsection,结构化分析,状态转换图与判定树,298,298,0,1,0,0,G,
ch02,subsection,结构化分析,决策表,360,360,0,1,1,0,G,
ch02,subsection,结构化分析,结构化分析的交叉校验,2035,2035,0,0,0,0,G,
ch02,section,,软件需求规格说明与验收,718,718,0,0,1,0,C,
ch02,subsection,软件需求规格说明与验收,需求评审检查单,1103,1103,0,0,1,0,G,
ch02,subsection,软件需求规格说明与验收,需求变更控制流程,2703,2703,0,1,1,0,E,
ch02,subsection,软件需求规格说明与验收,从灌区回到水库：方法迁移,430,430,0,0,0,0,C,
ch02,section,,小结,478,478,0,0,0,0,-,
ch02,section,,章末交付物,59,59,0,0,0,0,-,
ch02,section,,思考题与练习题,314,314,0,0,0,0,-,
ch03,section,,软件架构概述,6,6,0,0,0,0,C,
ch03,subsection,软件架构概述,软件架构的定义与重要性,1973,1973,0,0,3,0,G,
ch03,subsection,软件架构概述,架构描述方法,132,132,0,0,0,0,C,
ch03,subsubsection,软件架构概述,UML视图,3958,3958,0,5,1,0,C,
ch03,subsubsection,软件架构概述,架构决策的核心要素,891,891,0,0,0,0,C,
ch03,subsection,软件架构概述,架构决策记录（ADR）,647,647,0,0,0,0,G,
ch03,section,,架构设计原则,114,114,0,0,0,0,C,
ch03,subsection,架构设计原则,模块化与关注点分离原则,95,95,0,0,0,0,C,
ch03,subsubsection,架构设计原则,模块化的定义与目标,421,421,0,0,0,0,C,
ch03,subsubsection,架构设计原则,关注点分离（Separation of Concerns）,344,344,0,0,0,0,C,
ch03,subsubsection,架构设计原则,内聚性（Cohesion）,525,525,0,0,0,0,C,
ch03,subsubsection,架构设计原则,耦合性（Coupling）,539,539,0,0,0,0,C,
ch03,subsubsection,架构设计原则,平衡内聚与耦合,434,434,0,0,0,0,C,
ch03,subsubsection,架构设计原则,实践步骤,441,441,0,0,0,0,C,
ch03,subsection,架构设计原则,抽象与信息隐藏原则,69,69,0,0,0,0,C,
ch03,subsubsection,架构设计原则,抽象的定义与作用,469,469,0,0,0,0,C,
ch03,subsubsection,架构设计原则,抽象层次的一种划分示例,420,420,0,0,0,0,C,
ch03,subsubsection,架构设计原则,信息隐藏（Information Hiding）,380,380,0,0,0,0,C,
ch03,subsubsection,架构设计原则,接口封装的实践方法,619,619,6,0,0,0,C,
ch03,subsubsection,架构设计原则,案例分析：水利工程安全监测平台的抽象与封装,363,363,0,0,0,0,G,
ch03,subsection,架构设计原则,功能独立性与复用性原则,454,454,0,0,1,0,C,
ch03,subsubsection,架构设计原则,基于构件的设计原则,1148,1148,0,0,0,0,C,
ch03,subsection,架构设计原则,案例分析：水利工程安全监测平台的监测接入模块,763,763,0,0,0,0,G,
ch03,section,,架构类型与常见模式,9,9,0,0,0,0,C,
ch03,subsection,架构类型与常见模式,常见架构类型,50,50,0,0,0,0,C,
ch03,subsubsection,架构类型与常见模式,分层架构（Layered Architecture）,851,851,0,1,0,0,C,
ch03,subsubsection,架构类型与常见模式,客户/服务器架构（Client-Server Architecture）,710,710,0,0,0,0,C,
ch03,subsubsection,架构类型与常见模式,分布式架构（Distributed Architecture）,1590,1590,0,0,2,0,C,
ch03,subsection,架构类型与常见模式,MVC架构模式,649,649,0,1,0,0,C,
ch03,subsection,架构类型与常见模式,微服务（Microservices）,537,537,0,1,0,0,E,
ch03,subsection,架构类型与常见模式,事件驱动（Event-Driven）,625,625,0,0,0,0,E,
ch03,subsection,架构类型与常见模式,架构风格与模式的选择,321,321,0,0,0,0,C,
ch03,subsection,架构类型与常见模式,单体、模块化单体与微服务：用案例水库的数字做一次决策,624,624,0,0,0,0,E,
ch03,subsection,架构类型与常见模式,Web 形态的特殊考虑,398,398,0,0,0,0,E,
ch03,section,,架构设计过程,6,6,0,0,0,0,C,
ch03,subsection,架构设计过程,系统环境表示,389,389,0,0,0,0,C,
ch03,subsection,架构设计过程,原型定义与细化,1970,1970,0,0,0,0,G,
ch03,subsection,架构设计过程,构件级设计,1684,1684,0,0,0,0,G,
ch03,section,,案例研究：水利工程安全监测平台架构,16,16,0,0,0,0,C,
ch03,subsection,案例研究：水利工程安全监测平台架构,需求分析和用例建模,1577,1577,0,0,0,0,C,
ch03,subsection,案例研究：水利工程安全监测平台架构,构件协作与接口设计,1346,1346,0,0,0,0,G,
ch03,subsection,案例研究：水利工程安全监测平台架构,把设计交给评审：一次架构评审会的组织,659,659,0,0,0,0,G,
ch03,section,,架构评估与ATAM迷你演练,9,9,0,0,0,0,E,
ch03,subsection,架构评估与ATAM迷你演练,评估方法,1162,1162,0,1,1,0,E,
ch03,subsection,架构评估与ATAM迷你演练,复杂度与风险分析,1021,1021,0,0,0,0,E,
ch03,subsection,架构评估与ATAM迷你演练,课堂演练：一次90分钟的迷你ATAM,1253,1253,0,0,0,0,E,
ch03,section,,小结,784,784,0,0,0,0,-,
ch03,section,,章末交付物,125,125,0,0,0,0,-,
ch03,section,,思考题与练习题,509,509,0,0,0,0,-,
ch04,section,,Web基础概念与浏览器架构,293,293,0,1,0,0,C,
ch04,section,,HTML基础与语义化,154,154,1,0,0,0,C,
ch04,subsection,HTML基础与语义化,文档流、渲染流程与页面地标,2867,2867,3,1,0,0,C,
ch04,section,,CSS样式与响应式布局,167,167,1,0,0,0,C,
ch04,subsection,CSS样式与响应式布局,盒模型与尺寸计算,965,965,2,1,1,0,C,
ch04,subsection,CSS样式与响应式布局,单位体系与可伸缩界面,296,296,1,0,0,0,C,
ch04,subsection,CSS样式与响应式布局,定位、层叠上下文与覆盖关系,561,561,1,0,0,0,E,
ch04,subsection,CSS样式与响应式布局,Flexbox：一维的告警工具栏,395,395,1,0,0,0,G,
ch04,subsection,CSS样式与响应式布局,Grid：二维的监测仪表盘,321,321,1,1,0,0,G,
ch04,subsection,CSS样式与响应式布局,响应式断点与大屏适配,551,551,1,1,0,0,G,
ch04,subsection,CSS样式与响应式布局,CSS 变量与暗色主题,531,531,1,0,0,0,E,
ch04,subsection,CSS样式与响应式布局,Flex布局的故障定位与可访问性验收,835,835,1,0,1,0,G,
ch04,section,,JavaScript基础编程,167,167,2,0,0,0,C,
ch04,subsection,JavaScript基础编程,类型、相等性与可预测数据,372,372,1,0,0,0,C,
ch04,subsection,JavaScript基础编程,函数、闭包与数组高阶方法,361,361,1,0,0,0,C,
ch04,subsection,JavaScript基础编程,解构、展开与 ES 模块,333,333,1,0,0,0,C,
ch04,subsection,JavaScript基础编程,DOM 查询、增删改与安全写入,259,259,1,0,0,0,C,
ch04,subsection,JavaScript基础编程,事件对象、捕获与冒泡,355,355,0,1,0,0,C,
ch04,subsection,JavaScript基础编程,事件委托与长列表,474,474,2,0,0,0,G,
ch04,subsection,JavaScript基础编程,异常处理,54,54,1,0,0,0,C,
ch04,section,,数据请求与页面状态,295,295,0,0,0,0,C,
ch04,subsection,数据请求与页面状态,原理：一次请求从发出到页面更新,446,446,3,0,0,0,C,
ch04,subsection,数据请求与页面状态,完整例子：读取对象列表与最新观测,379,379,1,0,1,0,C,
ch04,subsection,数据请求与页面状态,页面的四种状态：加载、空数据、错误与过期,354,354,1,0,1,0,C,
ch04,subsection,数据请求与页面状态,故障单元：切换测点时旧数据覆盖新数据,736,736,1,1,1,0,C,
ch04,subsection,数据请求与页面状态,request.js：JWT、401 与超时的统一入口,281,281,1,0,0,0,G,
ch04,subsection,数据请求与页面状态,Vite 代理与环境变量,412,412,1,0,0,0,G,
ch04,subsection,数据请求与页面状态,登录到受保护接口的前后端联调闭环,1118,1118,1,1,1,0,G,
